zip_code,year,zori
10031,2020,2168.310836671422
10031,2021,2118.5932336474098
10031,2022,2382.544046906216
10032,2015,1948.501943323198
10032,2016,1986.869711860432
10032,2017,2085.4660840735314
10032,2018,2105.029921712406
10032,2019,2141.4503821636663
10032,2020,2100.4020240949308
10032,2021,2067.5459254378243
10032,2022,2313.8580798297326
10033,2015,2003.372484773838
10033,2016,2083.490625919114
10033,2017,2118.0595239847758
10033,2018,2199.5422371434406
10033,2019,2236.442923117956
10033,2020,2216.543303669831
10033,2021,2165.533467257523
10033,2022,2395.5305784193056
10034,2015,1786.140273609562
10034,2016,1826.2542556971896
10034,2017,1853.8080650975407
10034,2018,1900.1725941431584
10034,2019,1944.9140372625452
10034,2020,1944.782954673835
10034,2021,1892.7792825247732
10034,2022,2050.4647716205513
10035,2015,2103.770684894262
10035,2016,2170.4160526033706
10035,2017,2269.78469102139
10035,2018,2304.8570438453867
10035,2019,2381.3574213662905
10035,2020,2317.4684372368934
10035,2021,2267.378347365994
10035,2022,2554.2667435479184
10036,2015,3341.705625498778
10036,2016,3329.4345148940424
10036,2017,3337.1510079254854
10036,2018,3349.3604874893376
10036,2019,3426.102487650442
10036,2020,3219.691231624998
10036,2021,3244.9107658622947
10036,2022,3972.943839656649
10037,2015,
10037,2016,2081.008777359556
10037,2017,2126.314550766891
10037,2018,2193.9587834142567
10037,2019,2249.2969649127517
10037,2020,2211.7069196949774
10037,2021,2146.7705096844797
10037,2022,2420.6715955665554
10038,2015,3470.459949575054
10038,2016,3449.0367412942846
10038,2017,3463.2187305958228
10038,2018,3506.1807710733906
10038,2019,3677.035977810887
10038,2020,3403.233323335399
10038,2021,3516.0122760125555
10038,2022,4336.894689042936
10039,2015,
10039,2016,
10039,2017,
10039,2018,
10039,2019,
10039,2020,2195.253175148431
10039,2021,2104.0160724894
10039,2022,2393.683029095045
10040,2015,1776.2845832457094
10040,2016,1829.2725340422814
10040,2017,1912.3325344670295
10040,2018,1964.0508489138936
10040,2019,2009.4445519702315
10040,2020,2012.8713782654786
10040,2021,1969.4067695637493
10040,2022,2195.426067709632
10044,2015,
10044,2016,
10044,2017,
10044,2018,
10044,2019,
10044,2020,
10044,2021,
10044,2022,
10065,2015,3255.1355267055665
10065,2016,3302.6158591556764
10065,2017,3328.5382765186173
10065,2018,3379.308562073533
10065,2019,3468.6449198736937
10065,2020,3315.44476801651
10065,2021,3253.6215447099203
10065,2022,3935.775876787701
10069,2015,
10069,2016,
10069,2017,
10069,2018,
10069,2019,4128.272748718811
10069,2020,3847.7093001904063
10069,2021,4009.077316624347
10069,2022,4830.4749500663265
10075,2015,2202.699776866522
10075,2016,2248.629184508095
10075,2017,2263.794566072398
10075,2018,2293.350209991508
10075,2019,2364.063336505657
10075,2020,2252.8186228563595
10075,2021,2190.417766515416
10075,2022,2729.0270841627876
10128,2015,2738.269780618679
10128,2016,2775.1998135581853
10128,2017,2806.9007809269983
10128,2018,2867.306789763825
10128,2019,2957.397157363163
10128,2020,2853.3215690831566
10128,2021,2743.8526040495904
10128,2022,3361.306492711512
10162,2015,
10162,2016,
10162,2017,
10162,2018,
10162,2019,
10162,2020,
10162,2021,
10162,2022,
10280,2015,
10280,2016,3355.48079877839
10280,2017,3319.620501044139
10280,2018,3416.2831394564914
10280,2019,3574.3671284853012
10280,2020,3363.874090234541
10280,2021,3530.3847796809055
10280,2022,4149.2419101281275
10282,2015,
10282,2016,
10282,2017,
10282,2018,
10282,2019,
10282,2020,
10282,2021,5119.552707976386
10282,2022,5697.702929940743
10301,2015,
10301,2016,
